Id,Size,Color,Moment 
1,Mediana,Naranja,0:1
2,Grande,Verde,0:4
3,Grande,Verde,0:5
4,Grande,Verde,0:7
5,Mediana,Verde,0:8
6,Grande,Verde,0:9
7,Grande,Amarrillo,0:12
8,Mediana,Verde,0:19
9,Pequena,Verde,0:20
10,Mediana,Verde,0:21
11,Mediana,Verde,0:23
12,Grande,Verde,0:25
13,Grande,Amarrillo,0:26
14,Pequena,Verde,0:26
15,Mediana,Verde,0:26
16,Mediana,Verde,0:27
17,Mediana,Verde,0:27
18,Pequena,Verde,0:28
19,Mediana,Verde,0:28
20,Mediana,Verde,0:30
21,Mediana,Verde,0:32
22,Mediana,Verde,0:32
23,Grande,Verde,0:34
24,Mediana,Verde,0:37
25,Grande,Amarrillo,0:38
26,Grande,Verde,0:41
27,Pequena,Verde,0:46
28,Mediana,Verde,0:47
29,Pequena,Verde,0:48
30,Mediana,Amarrillo,0:48
31,Pequena,Verde,0:49
32,Mediana,Naranja,0:49
33,Mediana,Verde,0:50
34,Grande,Verde,0:51
35,Mediana,Verde,0:52
36,Mediana,Amarrillo,0:53
37,Mediana,Verde,0:54
38,Grande,Verde,0:55
39,Grande,Verde,0:56
40,Mediana,Verde,1:0
41,Pequena,Verde,1:3
42,Grande,Verde,1:4
43,Pequena,Verde,1:4
44,Pequena,Amarrillo,1:6
45,Grande,Verde,1:8
46,Pequena,Verde,1:8
47,Mediana,Verde,1:13
48,Grande,Verde,1:15
49,Mediana,Amarrillo,1:16
50,Pequena,Verde,1:21
51,Mediana,Verde,1:21
52,Mediana,Verde,1:23
53,Mediana,Verde,1:24
54,Mediana,Verde,1:26
55,Grande,Verde,1:28
56,Pequena,Amarrillo,1:30
57,Mediana,Verde,1:32
58,Mediana,Verde,1:34
59,Mediana,Verde,1:39
60,Mediana,Verde,1:41
61,Grande,Verde,1:42
62,Mediana,Verde,1:45
63,Grande,Verde,1:47
64,Grande,Verde,1:48
65,Grande,Verde,1:50
66,Mediana,Verde,1:51
67,Grande,Amarrillo,1:56
